Name of all the Schools in the ULB,Location/Landmark,Contact Official,Office Contact,Whether Green Army Unit functioning (Yes/No),Ward No.
Menamkulam LPS,Kazhakuttom P.O 695 582,HM/Principal,9495745529,,
Monvila LPS,Kulathoor P.O 695 583,HM/Principal,9947182725,,
KazhakuttomSainik LPS,Kazhakuttom P.O 695 582,HM/Principal,9447063699,,
Vadakkumbhagam St. Anton's LPS,Kazhakuttom P.O 695582,HM/Principal,9447857290,,
Veli St. Thomas LPS,Valiyaveli P.O 695 021,HM/Principal,9447920575,,
Kazhakuttom CSI,Kazhakuttom P.O 695582,HM/Principal,,,
Kariavattom Arch Bishop Gregorios  EM LPS,Kariyavattom.P.O 695581,HM/Principal,0471 2416445,,
"Govt School for Blind Vazhuthacaud, Thiruvananthapuram","Cotton hill PO, 695014",HM/Principal,472328184,,
Govt VHSS FOR THE DEAF JAGATHY  Thiruvananthapuram,"Cotton hill PO, 695014",HM/Principal,4712325717,,
"Govt TTI, Manacaud","Manacaud PO, 695009",HM/Principal,0471-2473407,,
"St. Rochs TTI, Thope","Vallakkadavu PO, 695008",HM/Principal,0471-2505068,,
Govt. Technical High School Ulloor,"Pongummodu, Thiruvananthapuram Pin - 695 011",HM/Principal,0471-2440245,,
THSS Muttada,Muttada P.O Trivandrum 25,HM/Principal,0471-2543888,,
